id,title,categories,abstract,doi,created,updated,authors
1909.01940,can we trust deep learning models diagnosis? the impact of domain shift   in chest radiograph classification,eess.iv cs.ai cs.cv cs.lg stat.ml,"while deep learning models become more widespread, their ability to handle unseen data and generalize for any scenario is yet to be challenged. in medical imaging, there is a high heterogeneity of distributions among images based on the equipment that generates them and their parametrization. this heterogeneity triggers a common issue in machine learning called domain shift, which represents the difference between the training data distribution and the distribution of where a model is employed. a high domain shift tends to implicate in a poor generalization performance from the models. in this work, we evaluate the extent of domain shift on four of the largest datasets of chest radiographs. we show how training and testing with different datasets (e.g., training in chestx-ray14 and testing in chexpert) drastically affects model performance, posing a big question over the reliability of deep learning models trained on public datasets. we also show that models trained on chexpert and mimic-cxr generalize better to other datasets.",10.1007/978-3-030-62469-9_7,2019-09-03,2020-06-22,"['eduardo h. p. pooch', 'pedro l. ballester', 'rodrigo c. barros']"
2008.06255,from attack to protection: leveraging watermarking attack network for   advanced add-on watermarking,cs.mm cs.cr cs.cv,"multi-bit watermarking (mw) has been designed to enhance resistance against watermarking attacks, such as signal processing operations and geometric distortions. various benchmark tools exist to assess this robustness through simulated attacks on watermarked images. however, these tools often fail to capitalize on the unique attributes of the targeted mw and typically neglect the aspect of visual quality, a critical factor in practical applications. to overcome these shortcomings, we introduce a watermarking attack network (wan), a fully trainable watermarking benchmark tool designed to exploit vulnerabilities within mw systems and induce watermark bit inversions, significantly diminishing watermark extractability. the proposed wan employs an architecture based on residual dense blocks, which is adept at both local and global feature learning, thereby maintaining high visual quality while obstructing the extraction of embedded information. our empirical results demonstrate that the wan effectively undermines various block-based mw systems while minimizing visual degradation caused by attacks. this is facilitated by our novel watermarking attack loss, which is specifically crafted to compromise these systems. the wan functions not only as a benchmarking tool but also as an add-on watermarking (aow) mechanism, augmenting established universal watermarking schemes by enhancing robustness or imperceptibility without requiring detailed method context and adapting to dynamic watermarking requirements. extensive experimental results show that aow complements the performance of the targeted mw system by independently enhancing both imperceptibility and robustness.",,2020-08-14,2025-05-03,"['seung-hun nam', 'jihyeon kang', 'daesik kim', 'namhyuk ahn', 'wonhyuk ahn']"
2103.16074,pointba: towards backdoor attacks in 3d point cloud,cs.lg cs.cr cs.cv,"3d deep learning has been increasingly more popular for a variety of tasks including many safety-critical applications. however, recently several works raise the security issues of 3d deep models. although most of them consider adversarial attacks, we identify that backdoor attack is indeed a more serious threat to 3d deep learning systems but remains unexplored. we present the backdoor attacks in 3d point cloud with a unified framework that exploits the unique properties of 3d data and networks. in particular, we design two attack approaches on point cloud: the poison-label backdoor attack (pointpba) and the clean-label backdoor attack (pointcba). the first one is straightforward and effective in practice, while the latter is more sophisticated assuming there are certain data inspections. the attack algorithms are mainly motivated and developed by 1) the recent discovery of 3d adversarial samples suggesting the vulnerability of deep models under spatial transformation; 2) the proposed feature disentanglement technique that manipulates the feature of the data through optimization methods and its potential to embed a new task. extensive experiments show the efficacy of the pointpba with over 95% success rate across various 3d datasets and models, and the more stealthy pointcba with around 50% success rate. our proposed backdoor attack in 3d point cloud is expected to perform as a baseline for improving the robustness of 3d deep models.",,2021-03-30,2025-05-08,"['xinke li', 'zhirui chen', 'yue zhao', 'zekun tong', 'yabang zhao', 'andrew lim', 'joey tianyi zhou']"
2109.05021,a deep learning-based unified framework for red lesions detection on   retinal fundus images,eess.iv cs.cv,"red-lesions, microaneurysms (mas) and hemorrhages (hms), are the early signs of diabetic retinopathy (dr). the automatic detection of mas and hms on retinal fundus images is a challenging task. most of the existing methods detect either only mas or only hms because of the difference in their texture, sizes, and morphology. though some methods detect both mas and hms, they suffer from the curse of dimensionality of shape and colors features and fail to detect all shape variations of hms such as flame-shaped. leveraging the progress in deep learning, we proposed a two-stream red lesions detection system dealing simultaneously with small and large red lesions. for this system, we introduced a new rois candidates generation method for large red lesions on fundus images; it is based on blood vessel segmentation and morphological operations, and reduces the computational complexity, and enhances the detection accuracy by generating a small number of potential candidates. for detection, we proposed a framework with two streams. we used pretrained vggnet as a backbone model and carried out several extensive experiments to tune it for vessels segmentation and candidates generation, and finally learning the appropriate mapping, which yields better detection of the red lesions comparing with the state-of-the-art methods. the experimental results validated the effectiveness of the system in the detection of both mas and hms; it yields higher performance for per lesion detection; its sensitivity equals 0.8589 and good froc score under 8 fpis on diaretdb1-ma reports froc=0.7518, and with sn=0.7552 and good froc score under 2,4and 8 fpis on diaretdb1-hm, and sn=0.8157 on e-ophtha with overall froc=0.4537 and on roch dataset with froc=0.3461 which is higher than the state-of-the art methods. for dr screening, the system performs well with good auc on diaretdb1-ma, diaretdb1-hm, and e-ophtha datasets.",,2021-09-09,2025-05-01,"['norah asiri', 'muhammad hussain', 'fadwa al adel']"
2202.03482,navigating neural space: revisiting concept activation vectors to   overcome directional divergence,cs.cv cs.ai cs.lg,"with a growing interest in understanding neural network prediction strategies, concept activation vectors (cavs) have emerged as a popular tool for modeling human-understandable concepts in the latent space. commonly, cavs are computed by leveraging linear classifiers optimizing the separability of latent representations of samples with and without a given concept. however, in this paper we show that such a separability-oriented computation leads to solutions, which may diverge from the actual goal of precisely modeling the concept direction. this discrepancy can be attributed to the significant influence of distractor directions, i.e., signals unrelated to the concept, which are picked up by filters (i.e., weights) of linear models to optimize class-separability. to address this, we introduce pattern-based cavs, solely focussing on concept signals, thereby providing more accurate concept directions. we evaluate various cav methods in terms of their alignment with the true concept direction and their impact on cav applications, including concept sensitivity testing and model correction for shortcut behavior caused by data artifacts. we demonstrate the benefits of pattern-based cavs using the pediatric bone age, isic2019, and funnybirds datasets with vgg, resnet, rexnet, efficientnet, and vision transformer as model architectures.",,2022-02-07,2025-05-07,"['frederik pahde', 'maximilian dreyer', 'leander weber', 'moritz weckbecker', 'christopher j. anders', 'thomas wiegand', 'wojciech samek', 'sebastian lapuschkin']"
2202.09738,the loop game: quality assessment and optimization for low-light image   enhancement,eess.iv cs.cv,"there is an increasing consensus that the design and optimization of low light image enhancement methods need to be fully driven by perceptual quality. with numerous approaches proposed to enhance low-light images, much less work has been dedicated to quality assessment and quality optimization of low-light enhancement. in this paper, to close the gap between enhancement and assessment, we propose a loop enhancement framework that produces a clear picture of how the enhancement of low-light images could be optimized towards better visual quality. in particular, we create a large-scale database for quality assessment of the enhanced low-light image (quote-lol), which serves as the foundation in studying and developing objective quality assessment measures. the objective quality assessment measure plays a critical bridging role between visual quality and enhancement and is further incorporated in the optimization in learning the enhancement model towards perceptual optimally. finally, we iteratively perform the enhancement and optimization tasks, enhancing the low-light images continuously. the superiority of the proposed scheme is validated based on various low-light scenes.",,2022-02-20,2025-05-03,"['danni huang', 'lingyu zhu', 'zihao lin', 'hanwei zhu', 'shiqi wang', 'baoliang chen']"
2208.03571,transformer-based assignment decision network for multiple object   tracking,cs.cv cs.ai,"data association is a crucial component for any multiple object tracking (mot) method that follows the tracking-by-detection paradigm. to generate complete trajectories such methods employ a data association process to establish assignments between detections and existing targets during each timestep. recent data association approaches try to solve either a multi-dimensional linear assignment task or a network flow minimization problem or tackle it via multiple hypotheses tracking. however, during inference an optimization step that computes optimal assignments is required for every sequence frame inducing additional complexity to any given solution. to this end, in the context of this work we introduce transformer-based assignment decision network (tadn) that tackles data association without the need of any explicit optimization during inference. in particular, tadn can directly infer assignment pairs between detections and active targets in a single forward pass of the network. we have integrated tadn in a rather simple mot framework, designed a novel training strategy for efficient end-to-end training and demonstrated the high potential of our approach for online visual tracking-by-detection mot on several popular benchmarks, i.e. mot17, mot20 and ua-detrac. our proposed approach demonstrates strong performance in most evaluation metrics despite its simple nature as a tracker lacking significant auxiliary components such as occlusion handling or re-identification. the implementation of our method is publicly available at https://github.com/psaltaath/tadn-mot.",,2022-08-06,2025-05-08,"['athena psalta', 'vasileios tsironis', 'konstantinos karantzalos']"
2210.11388,physics-informed deep diffusion mri reconstruction with synthetic data:   break training data bottleneck in artificial intelligence,eess.iv cs.cv,"diffusion magnetic resonance imaging (mri) is the only imaging modality for non-invasive movement detection of in vivo water molecules, with significant clinical and research applications. diffusion weighted imaging (dwi) mri acquired by multi-shot techniques can achieve higher resolution, better signal-to-noise ratio, and lower geometric distortion than single-shot, but suffers from inter-shot motion-induced artifacts. these artifacts cannot be removed prospectively, leading to the absence of artifact-free training labels. thus, the potential of deep learning in multi-shot dwi reconstruction remains largely untapped. to break the training data bottleneck, here, we propose a physics-informed deep dwi reconstruction method (pidd) to synthesize high-quality paired training data by leveraging the physical diffusion model (magnitude synthesis) and inter-shot motion-induced phase model (motion phase synthesis). the network is trained only once with 100,000 synthetic samples, achieving encouraging results on multiple realistic in vivo data reconstructions. advantages over conventional methods include: (a) better motion artifact suppression and reconstruction stability; (b) outstanding generalization to multi-scenario reconstructions, including multi-resolution, multi-b-value, multi-under-sampling, multi-vendor, and multi-center; (c) excellent clinical adaptability to patients with verifications by seven experienced doctors (p<0.001). in conclusion, pidd presents a novel deep learning framework by exploiting the power of mri physics, providing a cost-effective and explainable way to break the data bottleneck in deep learning medical imaging.",,2022-10-20,2025-05-03,"['chen qian', 'haoyu zhang', 'yuncheng gao', 'mingyang han', 'zi wang', 'dan ruan', 'yu shen', 'yaping wu', 'yirong zhou', 'chengyan wang', 'boyu jiang', 'ran tao', 'zhigang wu', 'jiazheng wang', 'liuhong zhu', 'yi guo', 'taishan kang', 'jianzhong lin', 'tao gong', 'chen yang', 'guoqiang fei', 'meijin lin', 'di guo', 'jianjun zhou', 'meiyun wang', 'xiaobo qu']"
2211.05781,demystify transformers & convolutions in modern image deep networks,cs.cv,"vision transformers have gained popularity recently, leading to the development of new vision backbones with improved features and consistent performance gains. however, these advancements are not solely attributable to novel feature transformation designs; certain benefits also arise from advanced network-level and block-level architectures. this paper aims to identify the real gains of popular convolution and attention operators through a detailed study. we find that the key difference among these feature transformation modules, such as attention or convolution, lies in their spatial feature aggregation approach, known as the ""spatial token mixer"" (stm). to facilitate an impartial comparison, we introduce a unified architecture to neutralize the impact of divergent network-level and block-level designs. subsequently, various stms are integrated into this unified framework for comprehensive comparative analysis. our experiments on various tasks and an analysis of inductive bias show a significant performance boost due to advanced network-level and block-level designs, but performance differences persist among different stms. our detailed analysis also reveals various findings about different stms, including effective receptive fields, invariance, and adversarial robustness tests.",10.1109/tpami.2024.3520508,2022-11-10,2024-12-18,"['xiaowei hu', 'min shi', 'weiyun wang', 'sitong wu', 'linjie xing', 'wenhai wang', 'xizhou zhu', 'lewei lu', 'jie zhou', 'xiaogang wang', 'yu qiao', 'jifeng dai']"
2211.06841,point-dae: denoising autoencoders for self-supervised point cloud   learning,cs.cv cs.ai,"masked autoencoder has demonstrated its effectiveness in self-supervised point cloud learning. considering that masking is a kind of corruption, in this work we explore a more general denoising autoencoder for point cloud learning (point-dae) by investigating more types of corruptions beyond masking. specifically, we degrade the point cloud with certain corruptions as input, and learn an encoder-decoder model to reconstruct the original point cloud from its corrupted version. three corruption families (\ie, density/masking, noise, and affine transformation) and a total of fourteen corruption types are investigated with traditional non-transformer encoders. besides the popular masking corruption, we identify another effective corruption family, \ie, affine transformation. the affine transformation disturbs all points globally, which is complementary to the masking corruption where some local regions are dropped. we also validate the effectiveness of affine transformation corruption with the transformer backbones, where we decompose the reconstruction of the complete point cloud into the reconstructions of detailed local patches and rough global shape, alleviating the position leakage problem in the reconstruction. extensive experiments on tasks of object classification, few-shot learning, robustness testing, part segmentation, and 3d object detection validate the effectiveness of the proposed method. the codes are available at \url{https://github.com/ybzh/point-dae}.",10.1109/tnnls.2025.3557055,2022-11-13,2024-07-25,"['yabin zhang', 'jiehong lin', 'ruihuang li', 'kui jia', 'lei zhang']"
