id,title,categories,abstract,doi,created,updated,authors
2505.00295,fine-grained spatial-temporal perception for gas leak segmentation,cs.cv cs.ai,"gas leaks pose significant risks to human health and the environment. despite long-standing concerns, there are limited methods that can efficiently and accurately detect and segment leaks due to their concealed appearance and random shapes. in this paper, we propose a fine-grained spatial-temporal perception (fgstp) algorithm for gas leak segmentation. fgstp captures critical motion clues across frames and integrates them with refined object features in an end-to-end network. specifically, we first construct a correlation volume to capture motion information between consecutive frames. then, the fine-grained perception progressively refines the object-level features using previous outputs. finally, a decoder is employed to optimize boundary segmentation. because there is no highly precise labeled dataset for gas leak segmentation, we manually label a gas leak video dataset, gasvid. experimental results on gasvid demonstrate that our model excels in segmenting non-rigid objects such as gas leaks, generating the most accurate mask compared to other state-of-the-art (sota) models.",,2025-05-01,,"['xinlong zhao', 'shan du']"
2505.00312,aware-net: adaptive weighted averaging for robust ensemble network in   deepfake detection,cs.cv,"deepfake detection has become increasingly important due to the rise of synthetic media, which poses significant risks to digital identity and cyber presence for security and trust. while multiple approaches have improved detection accuracy, challenges remain in achieving consistent performance across diverse datasets and manipulation types. in response, we propose a novel two-tier ensemble framework for deepfake detection based on deep learning that hierarchically combines multiple instances of three state-of-the-art architectures: xception, res2net101, and efficientnet-b7. our framework employs a unique approach where each architecture is instantiated three times with different initializations to enhance model diversity, followed by a learnable weighting mechanism that dynamically combines their predictions. unlike traditional fixed-weight ensembles, our first-tier averages predictions within each architecture family to reduce model variance, while the second tier learns optimal contribution weights through backpropagation, automatically adjusting each architecture's influence based on their detection reliability. our experiments achieved state-of-the-art intra-dataset performance with auc scores of 99.22% (ff++) and 100.00% (celebdf-v2), and f1 scores of 98.06% (ff++) and 99.94% (celebdf-v2) without augmentation. with augmentation, we achieve auc scores of 99.47% (ff++) and 100.00% (celebdf-v2), and f1 scores of 98.43% (ff++) and 99.95% (celebdf-v2). the framework demonstrates robust cross-dataset generalization, achieving auc scores of 88.20% and 72.52%, and f1 scores of 93.16% and 80.62% in cross-dataset evaluations.",10.1049/icp.2025.1162,2025-05-01,,"['muhammad salman', 'iqra tariq', 'mishal zulfiqar', 'muqadas jalal', 'sami aujla', 'sumbal fatima']"
2505.00334,quaternion wavelet-conditioned diffusion models for image   super-resolution,cs.cv cs.lg,"image super-resolution is a fundamental problem in computer vision with broad applications spacing from medical imaging to satellite analysis. the ability to reconstruct high-resolution images from low-resolution inputs is crucial for enhancing downstream tasks such as object detection and segmentation. while deep learning has significantly advanced sr, achieving high-quality reconstructions with fine-grained details and realistic textures remains challenging, particularly at high upscaling factors. recent approaches leveraging diffusion models have demonstrated promising results, yet they often struggle to balance perceptual quality with structural fidelity. in this work, we introduce resqu a novel sr framework that integrates a quaternion wavelet preprocessing framework with latent diffusion models, incorporating a new quaternion wavelet- and time-aware encoder. unlike prior methods that simply apply wavelet transforms within diffusion models, our approach enhances the conditioning process by exploiting quaternion wavelet embeddings, which are dynamically integrated at different stages of denoising. furthermore, we also leverage the generative priors of foundation models such as stable diffusion. extensive experiments on domain-specific datasets demonstrate that our method achieves outstanding sr results, outperforming in many cases existing approaches in perceptual quality and standard evaluation metrics. the code will be available after the revision process.",,2025-05-01,2025-05-05,"['luigi sigillo', 'christian bianchi', 'aurelio uncini', 'danilo comminiello']"
2505.00335,efficient neural video representation with temporally coherent   modulation,cs.cv cs.ai,"implicit neural representations (inr) has found successful applications across diverse domains. to employ inr in real-life, it is important to speed up training. in the field of inr for video applications, the state-of-the-art approach employs grid-type parametric encoding and successfully achieves a faster encoding speed in comparison to its predecessors. however, the grid usage, which does not consider the video's dynamic nature, leads to redundant use of trainable parameters. as a result, it has significantly lower parameter efficiency and higher bitrate compared to nerv-style methods that do not use a parametric encoding. to address the problem, we propose neural video representation with temporally coherent modulation (nvtm), a novel framework that can capture dynamic characteristics of video. by decomposing the spatio-temporal 3d video data into a set of 2d grids with flow information, nvtm enables learning video representation rapidly and uses parameter efficiently. our framework enables to process temporally corresponding pixels at once, resulting in the fastest encoding speed for a reasonable video quality, especially when compared to the nerv-style method, with a speed increase of over 3 times. also, it remarks an average of 1.54db/0.019 improvements in psnr/lpips on uvg (dynamic) (even with 10% fewer parameters) and an average of 1.84db/0.013 improvements in psnr/lpips on mcl-jcv (dynamic), compared to previous grid-type works. by expanding this to compression tasks, we demonstrate comparable performance to video compression standards (h.264, hevc) and recent inr approaches for video compression. additionally, we perform extensive experiments demonstrating the superior performance of our algorithm across diverse tasks, encompassing super resolution, frame interpolation and video inpainting. project page is https://sujiikim.github.io/nvtm/.",,2025-05-01,,"['seungjun shin', 'suji kim', 'dokwan oh']"
2505.00337,t2vphysbench: a first-principles benchmark for physical consistency in   text-to-video generation,cs.lg cs.ai cs.cl cs.cv,"text-to-video generative models have made significant strides in recent years, producing high-quality videos that excel in both aesthetic appeal and accurate instruction following, and have become central to digital art creation and user engagement online. yet, despite these advancements, their ability to respect fundamental physical laws remains largely untested: many outputs still violate basic constraints such as rigid-body collisions, energy conservation, and gravitational dynamics, resulting in unrealistic or even misleading content. existing physical-evaluation benchmarks typically rely on automatic, pixel-level metrics applied to simplistic, life-scenario prompts, and thus overlook both human judgment and first-principles physics. to fill this gap, we introduce \textbf{t2vphysbench}, a first-principled benchmark that systematically evaluates whether state-of-the-art text-to-video systems, both open-source and commercial, obey twelve core physical laws including newtonian mechanics, conservation principles, and phenomenological effects. our benchmark employs a rigorous human evaluation protocol and includes three targeted studies: (1) an overall compliance assessment showing that all models score below 0.60 on average in each law category; (2) a prompt-hint ablation revealing that even detailed, law-specific hints fail to remedy physics violations; and (3) a counterfactual robustness test demonstrating that models often generate videos that explicitly break physical rules when so instructed. the results expose persistent limitations in current architectures and offer concrete insights for guiding future research toward truly physics-aware video generation.",,2025-05-01,,"['xuyang guo', 'jiayan huo', 'zhenmei shi', 'zhao song', 'jiahao zhang', 'jiale zhao']"
2505.00369,automated segmenta-on of pediatric neuroblastoma on multi-modal mri:   results of the sppin challenge at miccai 2023,cs.cv,"surgery plays an important role within the treatment for neuroblastoma, a common pediatric cancer. this requires careful planning, often via magnetic resonance imaging (mri)-based anatomical 3d models. however, creating these models is often time-consuming and user dependent. we organized the surgical planning in pediatric neuroblastoma (sppin) challenge, to stimulate developments on this topic, and set a benchmark for fully automatic segmentation of neuroblastoma on multi-model mri. the challenge started with a training phase, where teams received 78 sets of mri scans from 34 patients, consisting of both diagnostic and post-chemotherapy mri scans. the final test phase, consisting of 18 mri sets from 9 patients, determined the ranking of the teams. ranking was based on the dice similarity coefficient (dice score), the 95th percentile of the hausdorff distance (hd95) and the volumetric similarity (vs). the sppin challenge was hosted at miccai 2023. the final leaderboard consisted of 9 teams. the highest-ranking team achieved a median dice score 0.82, a median hd95 of 7.69 mm and a vs of 0.91, utilizing a large, pretrained network called stu-net. a significant difference for the segmentation results between diagnostic and post-chemotherapy mri scans was observed (dice = 0.89 vs dice = 0.59, p = 0.01) for the highest-ranking team. sppin is the first medical segmentation challenge in extracranial pediatric oncology. the highest-ranking team used a large pre-trained network, suggesting that pretraining can be of use in small, heterogenous datasets. although the results of the highest-ranking team were high for most patients, segmentation especially in small, pre-treated tumors were insufficient. therefore, more reliable segmentation methods are needed to create clinically applicable models to aid surgical planning in pediatric neuroblastoma.",,2025-05-01,,"['m. a. d. buser', 'd. c. simons', 'm. fitski', 'm. h. w. a. wijnen', 'a. s. littooij', 'a. h. ter brugge', 'i. n. vos', 'm. h. a. janse', 'm. de boer', 'r. ter maat', 'j. sato', 's. kido', 's. kondo', 's. kasai', 'm. wodzinski', 'h. muller', 'j. ye', 'j. he', 'y. kirchhoff', 'm. r. rokkus', 'g. haokai', 's. zitong', 'm. fernández-patón', 'd. veiga-canuto', 'd. g. ellis', 'm. r. aizenberg', 'b. h. m. van der velden', 'h. kuijf', 'a. de luca', 'a. f. w. van der steeg']"
2505.00374,towards lightweight hyperspectral image super-resolution with depthwise   separable dilated convolutional network,eess.iv cs.cv,"deep neural networks have demonstrated highly competitive performance in super-resolution (sr) for natural images by learning mappings from low-resolution (lr) to high-resolution (hr) images. however, hyperspectral super-resolution remains an ill-posed problem due to the high spectral dimensionality of the data and the scarcity of available training samples. moreover, existing methods often rely on large models with a high number of parameters or require the fusion with panchromatic or rgb images, both of which are often impractical in real-world scenarios. inspired by the mobilenet architecture, we introduce a lightweight depthwise separable dilated convolutional network (dsdcn) to address the aforementioned challenges. specifically, our model leverages multiple depthwise separable convolutions, similar to the mobilenet architecture, and further incorporates a dilated convolution fusion block to make the model more flexible for the extraction of both spatial and spectral features. in addition, we propose a custom loss function that combines mean squared error (mse), an l2 norm regularization-based constraint, and a spectral angle-based loss, ensuring the preservation of both spectral and spatial details. the proposed model achieves very competitive performance on two publicly available hyperspectral datasets, making it well-suited for hyperspectral image super-resolution tasks. the source codes are publicly available at: \href{https://github.com/usman1021/lightweight}{https://github.com/usman1021/lightweight}.",,2025-05-01,,"['usman muhammad', 'jorma laaksonen', 'lyudmila mihaylova']"
2505.00378,cues3d: unleashing the power of sole nerf for consistent and unique   instances in open-vocabulary 3d panoptic segmentation,cs.cv,"open-vocabulary 3d panoptic segmentation has recently emerged as a significant trend. top-performing methods currently integrate 2d segmentation with geometry-aware 3d primitives. however, the advantage would be lost without high-fidelity 3d point clouds, such as methods based on neural radiance field (nerf). these methods are limited by the insufficient capacity to maintain consistency across partial observations. to address this, recent works have utilized contrastive loss or cross-view association pre-processing for view consensus. in contrast to them, we present cues3d, a compact approach that relies solely on nerf instead of pre-associations. the core idea is that nerf's implicit 3d field inherently establishes a globally consistent geometry, enabling effective object distinction without explicit cross-view supervision. we propose a three-phase training framework for nerf, initialization-disambiguation-refinement, whereby the instance ids are corrected using the initially-learned knowledge. additionally, an instance disambiguation method is proposed to match nerf-rendered 3d masks and ensure globally unique 3d instance identities. with the aid of cues3d, we obtain highly consistent and unique 3d instance id for each object across views with a balanced version of nerf. our experiments are conducted on scannet v2, scannet200, scannet++, and replica datasets for 3d instance, panoptic, and semantic segmentation tasks. cues3d outperforms other 2d image-based methods and competes with the latest 2d-3d merging based methods, while even surpassing them when using additional 3d point clouds. the code link could be found in the appendix and will be released on \href{https://github.com/mrobotit/cues3d}{github}",,2025-05-01,,"['feng xue', 'wenzhuang xu', 'guofeng zhong', 'anlong minga', 'nicu sebe']"
2505.0038,the invisible threat: evaluating the vulnerability of cross-spectral   face recognition to presentation attacks,cs.cv,"cross-spectral face recognition systems are designed to enhance the performance of facial recognition systems by enabling cross-modal matching under challenging operational conditions. a particularly relevant application is the matching of near-infrared (nir) images to visible-spectrum (vis) images, enabling the verification of individuals by comparing nir facial captures acquired with vis reference images. the use of nir imaging offers several advantages, including greater robustness to illumination variations, better visibility through glasses and glare, and greater resistance to presentation attacks. despite these claimed benefits, the robustness of nir-based systems against presentation attacks has not been systematically studied in the literature. in this work, we conduct a comprehensive evaluation into the vulnerability of nir-vis cross-spectral face recognition systems to presentation attacks. our empirical findings indicate that, although these systems exhibit a certain degree of reliability, they remain vulnerable to specific attacks, emphasizing the need for further research in this area.",,2025-05-01,,"['anjith george', 'sebastien marcel']"
2505.00394,sota: spike-navigated optimal transport saliency region detection in   composite-bias videos,cs.cv,"existing saliency detection methods struggle in real-world scenarios due to motion blur and occlusions. in contrast, spike cameras, with their high temporal resolution, significantly enhance visual saliency maps. however, the composite noise inherent to spike camera imaging introduces discontinuities in saliency detection. low-quality samples further distort model predictions, leading to saliency bias. to address these challenges, we propose spike-navigated optimal transport saliency region detection (sota), a framework that leverages the strengths of spike cameras while mitigating biases in both spatial and temporal dimensions. our method introduces spike-based micro-debias (sm) to capture subtle frame-to-frame variations and preserve critical details, even under minimal scene or lighting changes. additionally, spike-based global-debias (sg) refines predictions by reducing inconsistencies across diverse conditions. extensive experiments on real and synthetic datasets demonstrate that sota outperforms existing methods by eliminating composite noise bias. our code and dataset will be released at https://github.com/lwxfight/sota.",,2025-05-01,,"['wenxuan liu', 'yao deng', 'kang chen', 'xian zhong', 'zhaofei yu', 'tiejun huang']"
2505.00421,real-time animatable 2dgs-avatars with detail enhancement from monocular   videos,cs.cv,"high-quality, animatable 3d human avatar reconstruction from monocular videos offers significant potential for reducing reliance on complex hardware, making it highly practical for applications in game development, augmented reality, and social media. however, existing methods still face substantial challenges in capturing fine geometric details and maintaining animation stability, particularly under dynamic or complex poses. to address these issues, we propose a novel real-time framework for animatable human avatar reconstruction based on 2d gaussian splatting (2dgs). by leveraging 2dgs and global smpl pose parameters, our framework not only aligns positional and rotational discrepancies but also enables robust and natural pose-driven animation of the reconstructed avatars. furthermore, we introduce a rotation compensation network (rcn) that learns rotation residuals by integrating local geometric features with global pose parameters. this network significantly improves the handling of non-rigid deformations and ensures smooth, artifact-free pose transitions during animation. experimental results demonstrate that our method successfully reconstructs realistic and highly animatable human avatars from monocular videos, effectively preserving fine-grained details while ensuring stable and natural pose variation. our approach surpasses current state-of-the-art methods in both reconstruction quality and animation robustness on public benchmarks.",,2025-05-01,,"['xia yuan', 'hai yuan', 'wenyi ge', 'ying fu', 'xi wu', 'guanyu xing']"
2505.00426,leveraging pretrained diffusion models for zero-shot part assembly,cs.cv,"3d part assembly aims to understand part relationships and predict their 6-dof poses to construct realistic 3d shapes, addressing the growing demand for autonomous assembly, which is crucial for robots. existing methods mainly estimate the transformation of each part by training neural networks under supervision, which requires a substantial quantity of manually labeled data. however, the high cost of data collection and the immense variability of real-world shapes and parts make traditional methods impractical for large-scale applications. in this paper, we propose first a zero-shot part assembly method that utilizes pre-trained point cloud diffusion models as discriminators in the assembly process, guiding the manipulation of parts to form realistic shapes. specifically, we theoretically demonstrate that utilizing a diffusion model for zero-shot part assembly can be transformed into an iterative closest point (icp) process. then, we propose a novel pushing-away strategy to address the overlap parts, thereby further enhancing the robustness of the method. to verify our work, we conduct extensive experiments and quantitative comparisons to several strong baseline methods, demonstrating the effectiveness of the proposed approach, which even surpasses the supervised learning method. the code has been released on https://github.com/ruiyuan-zhang/zero-shot-assembly.",,2025-05-01,,"['ruiyuan zhang', 'qi wang', 'jiaxiang liu', 'yu zhang', 'yuchi huo', 'chao wu']"
